"resposta","pergunta","pais","ano","n","p"
"Concordo","Faço amigos com facilidade na escola","ALB","2000",15418.2316,70.7210898483731
"Concordo","Faço amigos com facilidade na escola","ALB","2012",20565.6625,86.0636183785307
"Concordo","Faço amigos com facilidade na escola","ALB","2018",23319.4345412828,83.3946908006134
"Concordo","Faço amigos com facilidade na escola","ALB","2022",24319.82589412,85.5547850734924
"Concordo","Faço amigos com facilidade na escola","ARE","2012",22488.4308,87.5952453940529
"Concordo","Faço amigos com facilidade na escola","ARE","2015",37445.2919588733,79.7552457702364
"Concordo","Faço amigos com facilidade na escola","ARE","2018",41229.9568143943,75.786425090391
"Concordo","Faço amigos com facilidade na escola","ARE","2022",45788.2995947394,75.3531450877938
"Concordo","Faço amigos com facilidade na escola","ARG","2000",415633.7761,86.4892774253239
"Concordo","Faço amigos com facilidade na escola","ARG","2012",298239.8402,87.134208750801
"Concordo","Faço amigos com facilidade na escola","ARG","2018",414996.567667448,73.2581014554977
"Concordo","Faço amigos com facilidade na escola","ARG","2022",437872.435965689,73.4314796381271
"Concordo","Faço amigos com facilidade na escola","AUS","2000",202653.8288,90.3804359331998
"Concordo","Faço amigos com facilidade na escola","AUS","2003",212045.0823,91.3968752743505
"Concordo","Faço amigos com facilidade na escola","AUS","2012",138317.5561,85.4913580177872
"Concordo","Faço amigos com facilidade na escola","AUS","2015",203426.764219453,79.3615492948865
"Concordo","Faço amigos com facilidade na escola","AUS","2018",194946.197576717,75.6253992112522
"Concordo","Faço amigos com facilidade na escola","AUS","2022",205912.0321525,77.6453570121838
"Concordo","Faço amigos com facilidade na escola","AUT","2000",61639.4536,87.3818577312873
"Concordo","Faço amigos com facilidade na escola","AUT","2003",75424.4863,90.0511432968035
"Concordo","Faço amigos com facilidade na escola","AUT","2012",48197.4627,90.0874276662442
"Concordo","Faço amigos com facilidade na escola","AUT","2015",57194.1225861553,77.9436929064768
"Concordo","Faço amigos com facilidade na escola","AUT","2018",57795.640642956,76.9815574179829
"Concordo","Faço amigos com facilidade na escola","AUT","2022",60852.5841167509,79.9081162718636
"Concordo","Faço amigos com facilidade na escola","BEL","2000",95251.8153,89.1220077927491
"Concordo","Faço amigos com facilidade na escola","BEL","2003",96264.2773,89.2951665546062
"Concordo","Faço amigos com facilidade na escola","BEL","2012",64781.206,87.7587937209121
"Concordo","Faço amigos com facilidade na escola","BEL","2015",93971.5846079303,81.7842050583786
"Concordo","Faço amigos com facilidade na escola","BEL","2018",93466.5080219298,79.1922516305108
"Concordo","Faço amigos com facilidade na escola","BEL","2022",102654.03098607,79.7982386790364
"Concordo","Faço amigos com facilidade na escola","BGR","2000",74393.675,88.7727981125871
"Concordo","Faço amigos com facilidade na escola","BGR","2012",30914.8882,90.3787316099738
"Concordo","Faço amigos com facilidade na escola","BGR","2015",40212.6799122235,74.9049415973164
"Concordo","Faço amigos com facilidade na escola","BGR","2018",35561.7545756412,74.316952833108
"Concordo","Faço amigos com facilidade na escola","BGR","2022",42159.3887891664,78.9185048918432
"Concordo","Faço amigos com facilidade na escola","BIH","2018",23526.0294568182,81.5665428320852
"Concordo","Faço amigos com facilidade na escola","BLR","2018",58386.8002688444,74.5366282105219
"Concordo","Faço amigos com facilidade na escola","BRA","2000",2689970.6606,91.3165412103437
"Concordo","Faço amigos com facilidade na escola","BRA","2003",1676044.0145,91.3926552768528
"Concordo","Faço amigos com facilidade na escola","BRA","2012",1255240.6675,86.3204220863667
"Concordo","Faço amigos com facilidade na escola","BRA","2015",1793183.61619834,73.9164379417723
"Concordo","Faço amigos com facilidade na escola","BRA","2018",1424503.88750259,69.9362468002049
"Concordo","Faço amigos com facilidade na escola","BRA","2022",1574998.38781647,69.5986754501856
"Concordo","Faço amigos com facilidade na escola","BRN","2018",5167.40467163891,74.900769168614
"Concordo","Faço amigos com facilidade na escola","BRN","2022",4200.66565909537,70.2452571170065
"Concordo","Faço amigos com facilidade na escola","CAN","2000",308494.5768,89.9182099989224
"Concordo","Faço amigos com facilidade na escola","CAN","2003",264416.4576,89.9222709189784
"Concordo","Faço amigos com facilidade na escola","CAN","2012",195287.066,87.0489311162718
"Concordo","Faço amigos com facilidade na escola","CAN","2015",259676.354319344,78.3229492714103
"Concordo","Faço amigos com facilidade na escola","CAN","2018",249651.687512966,74.4790979719217
"Concordo","Faço amigos com facilidade na escola","CAN","2022",269211.992389748,75.2175220567576
