"faixa_etaria","ano","sexo","tx_100mil","aumento"
"10 a 14 anos",2000,"F",0.487522443443914,0
"10 a 14 anos",2000,"M",0.46047713517632,0
"10 a 14 anos",2001,"F",0.619418296097139,27.0543139966023
"10 a 14 anos",2001,"M",0.610441327601365,32.5671311275037
"10 a 14 anos",2002,"F",0.633811967003749,30.0067259522308
"10 a 14 anos",2002,"M",0.601588215590601,30.6445357727151
"10 a 14 anos",2003,"F",0.529371096549877,8.58394391247692
"10 a 14 anos",2003,"M",0.61424544383442,33.3932560189381
"10 a 14 anos",2004,"F",0.695136389883386,42.5855156478259
"10 a 14 anos",2004,"M",0.501199632711796,8.84354388625256
"10 a 14 anos",2005,"F",0.637265818088224,30.7151756104817
"10 a 14 anos",2005,"M",0.570355455786444,23.8618407335363
"10 a 14 anos",2006,"F",0.697184026450453,43.0055243252937
"10 a 14 anos",2006,"M",0.662284550557147,43.8257190128568
"10 a 14 anos",2008,"F",0.55610245536982,14.0670471376556
"10 a 14 anos",2008,"M",0.559750447257743,21.5587929340748
"10 a 14 anos",2009,"F",0.61540821210186,26.2317705323567
"10 a 14 anos",2009,"M",0.616655875188851,33.9167198720364
"10 a 14 anos",2013,"F",0.582827037036993,19.5487602416488
"10 a 14 anos",2013,"M",0.801202352925287,73.9939492584145
"10 a 14 anos",2014,"F",0.742410232424695,52.28226770038
"10 a 14 anos",2014,"M",0.921082354664142,100.02781556384
"10 a 14 anos",2015,"F",0.676650974002828,38.7938100291113
"10 a 14 anos",2015,"M",0.882060502618965,91.5535941390918
"10 a 14 anos",2016,"F",0.832810377405169,70.8250335147857
"10 a 14 anos",2016,"M",0.881635186412944,91.4612298991478
"10 a 14 anos",2017,"F",1.05557752260674,116.518754531591
"10 a 14 anos",2017,"M",1.06009638777516,130.216943859599
"10 a 14 anos",2018,"F",0.957390938370352,96.3788439373648
"10 a 14 anos",2018,"M",1.05049956688024,128.132840184995
"10 a 14 anos",2019,"F",1.32932983498032,172.670489914224
"10 a 14 anos",2019,"M",1.04079015809235,126.024286242535
"10 a 14 anos",2020,"F",1.07661406174706,120.833743394814
"10 a 14 anos",2020,"M",1.00598411513824,118.465595420506
"10 a 14 anos",2021,"F",1.56641088537097,221.300261441436
"10 a 14 anos",2021,"M",1.24719648497198,170.848732694277
"10 a 14 anos",2022,"F",1.40235277399402,187.648864755362
"10 a 14 anos",2022,"M",1.25224333643626,171.944737485557
"15 a 19 anos",2000,"F",2.04020275579827,0
"15 a 19 anos",2000,"M",3.73765660699456,0
"15 a 19 anos",2001,"F",2.5304227351093,24.0280029971446
"15 a 19 anos",2001,"M",5.2130300938759,39.4732219145108
"15 a 19 anos",2002,"F",2.321212808903,13.773633640387
"15 a 19 anos",2002,"M",4.81853559227742,28.9186273361798
"15 a 19 anos",2003,"F",2.41585778164315,18.412632017934
"15 a 19 anos",2003,"M",4.93854883953514,32.1295495764181
"15 a 19 anos",2004,"F",2.32889912477204,14.1503763855477
"15 a 19 anos",2004,"M",4.90547496925398,31.2446670481712
"15 a 19 anos",2005,"F",2.39656356053027,17.4669308586721
